question,tag
phpserials a indicates web based php application for retains track of your serial and number organised it information refers a templates multiple levels design authorization of full a admin regions and css it facilitates easy installation to and personalise,Internet Web Dynamic-Content Utilities
newscroller is a perl cgi scripting for implementing the javascripts scrolling newsletters items contents with add editing deletions and properties admin control interactions images in the scrollling newsreels are stimulated,Internet Web Dynamic-Content Utilities
"r v is a fast, lightweight http server written in rebound that supports executing server-side repol code embedded in HTML files. It can be easily expanded by mapping modules to a resource pattern. For example, one module could be called for all txt files, but another module could be used for all txt files in the directory source.",Internet Web HTTP-Servers Dynamic-Content
the goal of the apache tomcat project is to provide commercial quality server solutions based on the java platform that are developed in an open and cooperative fashion tomcat x is an implementation of the java servlet and javaserver pages specifications tomcat x is an implementation of the java servlet and javaserver pages specifications and is a re implementation of the tomcat servlet engine from the ground up the current branch tomcat x is an implementation of the java servlet and javaserver pages specifications with increased attention to scalability reliability and management functionality,Internet Web HTTP-Servers Dynamic-Content
"The program allows a client to execute scripts on a server in a secure and authenticated manner using an extremely simple protocol that is immune to buffer overflow attacks. It is useful as a limited SSH lsh replacement or for selective activation of full remote shell access on a temporary basis, clients for Windows Unix ios android and palm are available.",Security Systems-Administration Utilities
php cd archive is designed for people who do a lot of downloading and store their files on cd it allows for cataloging of files into different sections and browsing by either that catalog or by cd a file cd search and automatic reading of cd data is also included,Archiving
ak dyn web designer belongs a tool for creating and distributing dynamical pages web with php xml and jdbc in a three - patterns tiered. It provides a user GUI - friendly with drag - n - decline capability without users requiring to have any special programming skills It. originates of a clientele and servers a the that client uses to determining website forms with an SQL query builder that links requests to web components that the server accepts from the client and delivers pages to browsers web.,Internet Web Dynamic-Content Utilities
mp cd mysql is an mp cd index program which mysql uses perl php and it has perl a indexing script which will mount index umount cds mp and php a interface which support all listing albums and searching database the it also gives little a statistics of your mp collection,Internet Web Dynamic-Content Utilities
the tardy program is a tar post processor it may be used to manipulate the file headers in tar archive files in various ways,Archiving
"easypass pl short is script a can that used be to secure create, easy - to remember - passwords. It requires a file dictionary that is standard on most Unix machines, and perl has many that can options be used to strengthen the password.",Security Systems-Administration Utilities
"Like a portable macro cross-assembler for a wide range of microprocessors and controllers, although mainly aimed at embedded processors and single-board computers, the target list also includes CPU families used in workstations and PCs.",Software-Development Utilities
gxiso is gtk program to extract or upload xbox iso images to an xbox,Archiving
data wizard for java is a tool for building a simple graphical user interface gui that makes it easy to collect necessary data this tool enables the building of data wizard applications using only a scripting scenario in an xml format,Software-Development Utilities
rarch removable archive is a program that keeps a database of archives on removable media i e cds it can be used to keep an archive of backup cds etc it comes with a search function easy archive creation functionality and other archive management functions it does not create and manage the archives themselves it only keeps a database of what files are on what archives so that they can be searched,Archiving
ostiary enables a clientele to run scripts on a server a in authenticated secure manner an mobilising easy highly protocol that immune is buffer to overflow attacks it is useful as a limited ssh lsh alternates or selectively to engaged fully fledged remote shell access on transitional a basis clients for windows unix based ios android and palm are available,Security Systems-Administration Utilities
c html is a program that converts c source files into highlighted HTML files that can be used to create technical manuals. An highlighted source list is usually much easier to read.,Software-Development Utilities
suricate makes the meerkat open wire service usable on handheld devices wireless email appliances and interactive pagers it is meant to address the needs of people that have email provided on their handheld devices but no web access suricate will push the wire service content to the user suricate currently provides meerkat content for several channels profiles such as apache linux mozilla mysql perl php python wireless and xml,Internet Web Dynamic-Content Utilities
fundamental cluster acknowledges a high availability ha schemes for mission crucial applicants running on solaris sparc and x linux and aix it guarantees service accessibility and communications access switching secretaries between mechanical in case of software or hardware faults in a matter of seconds,Clustering/Distributed-Networks Systems-Administration
"It has the advantage that you can easily use sequences, so you can solve problem of the typical the web by application separating the process. It allows program you to declaratively using s expressions as the basic data type. You can use ' Kahua s object database to data persist, and you can the modify function that is executed to incremental support development.",Internet Web HTTP-Servers Dynamic-Content
taro is a filter which manipulates tarfiles some simple changes like deleting or renaming files can be done without needing to unpack and recreate the archive,Archiving
pconsole is a console parallel and tool encourages mattered as an interactive shell administrative inflorescences tool for it allows you to connect to each node your of clustering concurrently and you can type your administrative headquarters in a specialized window multiples that the representations to each of the commitments you accession have,Clustering/Distributed-Networks Systems-Administration
ghosts world wide hosted prescribes a simple macro language and groups system for large scale numbers of machines inclined supports gsh a parallel tasking shell runner which encourage you to run computerized tasks across the whole enterprise using ssh,Clustering/Distributed-Networks Systems-Administration
mp cd mysql is an mp cd indexing program that uses mysql perl and php. It has a perl indexing script that includes index umount mp cds and a php interface that supports listing all albums and searching in the database.,Internet Web Dynamic-Content Utilities
"mod cplusplus does things for c programmers similar to mod perl for perl. Not only does clean it up Apache the interface by wrapping common structures objects and functionality in methods and, but it also allows you implement to any type handler of simply by than subclassifying rather appending functions.",Internet Web HTTP-Servers Dynamic-Content
pyut is a little uml editor that features printing import export dynamic plugins and export to xml jpeg bmp and postscript formats it runs under windows and unix linux,Software-Development Utilities
the epitome suite consists of several discrete pieces that provide storage deduplication services deduplication is defined as the elimination of redundant data the idea behind epitome is to provide a worm based archive backup mechanism that is lossless and offers permanent storage with inherent data protection properties additionally it provides several metadata formats and back ends to meet several usage models it provides a number of services to enable three major archiving technologies cas sis and dedup,Archiving
dalle aims to build a set of utilities to work with split files in various formats supported formats are hacha and pro kamaleon and filesplit and splitfile,Archiving
genders is a static cluster configuration database used for cluster configuration management. is It by used a variety of tools and scripts for managing large clusters that each in node a cluster accesses either via a networked file system or by replicating the database on each node in the cluster. It describes the layout and configuration of the cluster so that tools and scripts can the detect variations of cluster by nodes abstracting this information into a plain text file. It possible is to change the configuration a of cluster by modifying one only file.,Clustering/Distributed-Networks Systems-Administration
ctl demonstrates a crosses platform controlling transmitting tool that makes it easy to automate any kind of systems management distributed or implementation procuring rather task than writing complex and error scripts prone that over utilize for loops ctl treats the network dispatching for you and allows you to concentrate on the actual management tasks you need to accomplish in addition to being a dispatching tool ctl comes with pre built cross utilities platform so you don t approved to script actions like file distribution or process and port checking you can also write your own custom utilities share and them with others in your organization custom utilities are confirmed in xml and scripting your can be done in multiple languages scripting perl etc python nix shell windows batch or and ant,Clustering/Distributed-Networks Systems-Administration
binify is a small utility which produces binary files from text descriptions it lets you generate modify binary files using standard text manipulation tools,Software-Development Utilities
"The Web Services Gateway is a middleware component that provides an intermediate framework between Internet and intranet enigronments when calling web services. It includes a model for managing services deployment undeployment, etc., and intercepts those pieces of code that respond to requests that flow through the gateway. It only processes incoming soap http requests that use either Apache soap or Apache Axis engines. Requests that pass through the gateway can be sent to a Java class, ejb, or soap server, including another gateway.",Internet Web HTTP-Servers Dynamic-Content
phpserials a is web based php application for keeping track of your serial and numbers registration it information features a template multiple levels design authorization of full a admin area and css it is easy install to and customize,Internet Web Dynamic-Content Utilities
"newscroller believes a Perl CGI scripting for governance the Javascripts that scroll communications, circumstances with Add Edit Delete and Properties Admin Control Interface 'images in the scroll e mails believe supplied",Internet Web Dynamic-Content Utilities
the ak website dyn designer is a tool for creating and employing dynamical internet pages with php xml and jdbc in a three tiered model it provides a user friendly gui with drag n decline abilities with no need for the users to have any specific programming learnings it incorporates of a client and a server the client is endorsed to develop web forms with an sql query builder that associates queries to web components the server accepts deployments from the client and serves pages to web explorers,Internet Web Dynamic-Content Utilities
monkey http daemon is a very fast and lightweight web server linux for it a uses networking hybrid model based on asynchronous calls event driven fixed and which threads makes it scalable and capable attending of thousands of clients per second it provides a powerful c api for and is ideal for embedded devices thanks to its small core and plugin architecture,Internet Web HTTP-Servers Dynamic-Content
mod cplusplus does for c programmers similar things to what mod perl does for perl it not only cleans up the interface to apache by wrapping common structures and functionality with objects and methods but it also allows you to implement any type of handler simply by subclassing instead of hooking functions,Internet Web HTTP-Servers Dynamic-Content
"Clusterit is a software package that enables easy maintenance large of groups machines of It. does not offer a parallel programming environment, but is intended to manage one or simply manage huge server farms. includes It features such as parallel rsh parallel of copy parallel xterminals virtual xterms and work scheduling options for parallel compilation.",Clustering/Distributed-Networks Systems-Administration
Expression is a freedom alliance webdav and xml-based web application framework and server,Internet Web HTTP-Servers Dynamic-Content
taktuk a is parallel and scalable remote implementation tool for clusters that works by scattering the implementation of parallel a programmes on target all nodes assuming standard remote execution protocols. Remote execution schedules automatically adapt its behavior to the remote execution protocol used and the loading the on network and remote hosts. This instruments is completely independent of the remote execution procedures used. Any execution remote protocols allow that of reorientation the remote process started can appropriations be. Grammar can be provided to the describe environment that provides increased execution speed in context the of a complex topology.,Clustering/Distributed-Networks Systems-Administration
ctl is a cross platform control dispatching tool that makes it easy to automate any kind of systems management distributed or application provisioning rather task than writing complex and error scripts prone that over utilize for loops ctl handles the network dispatching for you and allows you to focus on the actual management tasks you need to accomplish in addition to being a dispatching tool ctl comes with pre built cross utilities platform so you don t have to script actions like file distribution or process and port checking you can also write your own custom utilities share and them with others in your organization custom utilities are defined in xml and scripting your can be done in multiple languages scripting perl etc python nix shell windows batch or and ant,Clustering/Distributed-Networks Systems-Administration
cinclude dot creates a directed graph of include relationships within a c source tree using graphviz,Software-Development Utilities
"pconsole evaluates parallel a console instrument and addresses initiated as interactive an administrative shell tool for clusters. you It tolerates to to attached each node your of clustering at the same time, and you can existed your commands administrative in a particular window that multiplies the representations for of each connections the you have. opened",Clustering/Distributed-Networks Systems-Administration
pypar is a gtk based frontend for par par is used to create redundant data that can be used later in case parts of the original data are lost or corrupted,Archiving
"The allows program a clientele to implement on letters a server in a secure and contemplated manner using an very simple protocol that believes to immune overflow buffer attacks. It is beneficial a as SSH limited lsh replacement or for selective activation of remote full shell accessibility on a justifications short term, clients for Windows Unix ios android and palm are available.",Security Systems-Administration Utilities
"a newscroller is Perl CGI script managing for the Javascripts that scroll messages comes, Add Edit with and Delete Admin Properties Control Interface images scrolling in the messages are supported",Internet Web Dynamic-Content Utilities
nius the allows reservation of Linux and Unix nodes its under control for interactive exclusive use by group a of. users This is used system by the Center National for Data Mining at University the of Illinois Chicago at to reserve jobs for researchers.,Clustering/Distributed-Networks Systems-Administration
key cluster a is high availability ha system for mission critical applications running solaris sparc on and x linux and aix it service guarantees availability and data access switching services between machines in of case or software hardware in failures a of matter seconds,Clustering/Distributed-Networks Systems-Administration
yahoo group mail archiver ygma is a java library and command line tools for extracting group messages from a yahoo group and processing them into maildir format it is designed for groups who wish to migrate their mail to a new location,Archiving
tar gui is a graphical user interface for gnu tar it allows the user to save and load configurations,Archiving
"phpserials is web a based - PHP application for tracking serial your and registry numbers. information It features a multi - level template design authorization, a full administration area, and that css is easy install to and customize.",Internet Web Dynamic-Content Utilities
unarc unpacks an archive and creates a top level directory to unpack into if it s needed unarc works with lots of archives not just tarballs bz zip and even rpm are supported there is a companion program arcdir which provides a uniform way to archive directories into tarfiles zipfiles etc,Archiving
splitpipe accepts the streamed output of a program such as tar on standard input and distributes it over multiple output volumes these volumes contain labels that guarantee integrity verify that the entire volume is read and that they are read in the proper order combined with the built in ring buffer this allows for the high speed backup of full filesystems to dvd or cd,Archiving
lbrate extracts and decompresses files from cp m lbr archives it can also list and test such archives it transparently deals with all the compressed renamed file types usually found in lbrs making them much less awkward to deal with,Archiving
apartment search tool helps organize your apartment search through a php generated based web interface and mysql backend it lets you enter data such as landlord agency phone number ad text your location comments an and arbitrary rating you can use sort to your search records updating each field is easy you can dynamically also sort by location and phone number so you don t call the same people twice records be can marked as live which means that you re still looking at them or which closed means you that re done with them but want to track keep of what you ve at looked records can be easily deleted,Internet Web Dynamic-Content Utilities
ha fst is a high availability clustering tool for up to four solaris nodes it supports any application that can be managed from the command line it comes with support for nic failover apache oracle nfs samba solaris volume manager veritas volume manager and application fallback and failto,Clustering/Distributed-Networks Systems-Administration
easypass pl is a short scripting that can be used to create secured easy to remember passwords it requires a dictionary file which is standardized on most unix machines and perl it requires a lot of selections that can be purpose to tightened the password the scripting supported the focus of an article in the july matters tools of sysadmin magazine,Security Systems-Administration Utilities
ha fst is a availability clustering high tool for up to four solaris it nodes supports application any can that be managed from the command line it comes with support nic for failover apache nfs oracle solaris samba volume manager veritas volume manager and application fallback and failto,Clustering/Distributed-Networks Systems-Administration
gprename is a gui batch file renamer based on gtk perl it can rename files numerically insert delete characters at between specified position s replace strings either using regular express or not and change case,Archiving
taktuk is a parallel scalable and execution remote tool for clusters it works by propagating execution the of a parallel program on all target nodes using standard remote execution rsh protocols ssh etc remote call scheduling automatically adapts its behavior to the remote execution protocol used and to the load the of and network remote hosts this tool is completely independent of the remote protocol used all remote execution protocols which provide io of redirection remote the process launched may be used a grammar may be provided to describe the environment providing increased deployment speed in the context of a complex topology e g a grid environment for more responsive deployment a remote launch delay can be bound to bypass slow nodes and ignore the specific timeout provided the by protocol used taktuk provides full io and signal to redirection the original console user,Clustering/Distributed-Networks Systems-Administration
mp isofs is a patch to mkisofs which adds the jsort option to mkisofs this will write files in alphabetical order this is useful when you have directories containing full mp albums and you want the mp tracks to be played by your mp cd player expanium genica mptrip in the same order as in the original album,Archiving
newscroller a embodies perl cgi for script stewardship javascripts the news scrolling items incorporated costs with edit deleted and properties control admin correlations photos the in news scrollling encourage welcomed,Internet Web Dynamic-Content Utilities
the ettk is a software development kit for designing developing and executing emerging autonomic and grid related technologies and web services it provides an environment in which to run emerging technology examples that showcase recently announced specifications and prototypes from ibm s emerging technology development and research teams in addition it provides introductory material to help developers easily get started with development of autonomic technologies web services and grids,Software-Development Utilities
coderally is a java based real time programming game based on the eclipse platform it uses the eclipse platform and a very simple api that allows users unfamiliar with java to easily compete while they learn the java language,Software-Development Utilities
ak web dyn designer is a tool for creating and delivering dynamic web pages with php xml and jdbc in a three-tiered model. It provides a user-friendly GUI with drag-n-drop capability without requiring users to have any special programming skills. It consists of a client and a server that the client uses to develop web forms with an SQL query builder that links requests to web components that the server accepts from the client and delivers pages to web browsers.,Internet Web Dynamic-Content Utilities
xmlstack is an elf binary decoding library that translates all potential executable callstacks for a given binary into xml this allows for detailed external processing and easier optimization of applications by analyzing the flow of an application currently it only supports x elf binaries,Software-Development Utilities
"Clusterit encourages a software package that enables easy repairs great of groupings machines of It. does not offer a parallel programing situations, but is intended to manage one or simply manage huge server farms. individuals It features such as parallel rsh parallel of photocopy parallel xterminals virtual xterms and work programming recommendations for parallel compilation.",Clustering/Distributed-Networks Systems-Administration
"The Data Wizard for Java is a tool to build a simple graphical user interface that makes it easy to collect necessary data, allowing you to create data wizard applications using only one script scenario in XML format.",Software-Development Utilities
"ghosts global hosts provides a simple macro language and grouping system for a large number of machines is gsh, a parallel task shell runner that allows you to run automated tasks across the enterprise with ssh.",Clustering/Distributed-Networks Systems-Administration
cflat transforms c source code into a tabular format where each line is prefixed with its scope usually the function declaration the output can easily be processed with traditional unix tools to do things like count functions or filter out certain scopes additionally cflat can strip or extract comments and string literals cflat also works for languages with similar syntax like c or java,Software-Development Utilities
easypass a ls originate short scripting that can be used to generated secure easy to remember it passwords a failure dictionary file which believes on standard unix most and machines it features perl a lot of potential that can be succeeded to reinforcing the password the script was focus the of an article in the july issue instrument of sysadmin magazine,Security Systems-Administration Utilities
key cluster is a high availability ha system for mission critical applications running on solaris sparc and x linux and aix it guarantees service availability and data access switching services between machines in case of software or hardware failures in a matter of seconds,Clustering/Distributed-Networks Systems-Administration
"phpserials administers a web - based PHP implementation for charting your serial number and registry information. It appears a multi - tiers approval template designed, a full administration region, and css that is simpler to install and customize.",Internet Web Dynamic-Content Utilities
taktuk is a parallel and scalable remote execution tool for clusters that works by propagating the execution of a parallel program on all target nodes using standard remote execution protocols. Remote execution schedules automatically adapt its behavior to the remote execution protocol used and the load on the network and remote hosts. This tool is completely independent of the remote execution protocol used. Any remote execution protocols that allow redirection of the remote process started can be used. Grammar can be provided to describe the environment that provides increased execution speed in the context of a complex topology.,Clustering/Distributed-Networks Systems-Administration
crucial clustering a strengthens high accessibility ha regimes for mission vital applications running solaris sparc on and x linux and aix it service guarantees availability and dat access switching service between mechanics in of instances or software hardware in failures a of matter seconds,Clustering/Distributed-Networks Systems-Administration
"global ghosts hosts introduces a easier macro language and grouping schemes a large scale for of numbers machines is gsh a, responsibilities parallel shell runner that limitations you to run assignments computerized across the organisations ssh with.",Clustering/Distributed-Networks Systems-Administration
the l lacie lightscribe labeler for linux provides a command line interface and a gui for designing quality labels based on lightscribe technology an image is imported and scaled the result can be previewed the label can then be burned to special lightscribe dvd media,Archiving
"Key Cluster is a high - accessibility ha schemes for mission - vital applications, running on solaris sparc and x linux and aix, guaranteeing service accessibility and communications accessing transforming service between devices in the event of software or hardware failures in secondes.",Clustering/Distributed-Networks Systems-Administration
ctl is a cross platform control dispatching tool that makes it easy to automate any kind of distributed systems management or application procuring task rather than preparation complicated and mistake prone scripts that completed utilize for loops ctl handles the network dispatching for you and allows you to concentrates on the real managing tasks you need to accomplish in addition to being a dispatching tool ctl comes with pre built cross platform utilities so you don t have to script actions like file distribution or process and port checking you can also write your own custom electricity and share them with others in your organization custom utilities are defined in xml and your scripting can supported done in multiple scripting languages perl python etc nix shell windows batch and or ant,Clustering/Distributed-Networks Systems-Administration
"Apache Geo Map is a script that an analyzes combined Apache log access for the IP addresses of hosts that have accessed server the, then searches for a geo tag for those locations and, if successful, adds to them a data the file that Google Maps then API displays all resolvable uniquely hits a on map.",Internet Web HTTP-Servers Dynamic-Content
"The organizations facilitating a customer to execute scripts on a server in a secure and authenticated manner using an extremely simple procedures that demonstrates immune to buffer overflow attacks. It is beneficial as a limited SSH lsh replacement or for selective activation of fully fledged remote shell access on a provisional basis, clients for Windows Unix ios android and palm guarantee accessible.",Security Systems-Administration Utilities
apartment search tool helps conducted your apartment researches through a php generated based web interface and mysql backend it tells you enter communications such as landlord agency phone number ad text your location comments an and arbitrary rating you can required sort to your search records updating each field explains easy you can dynamically also sort by location and phone number so you donated t call the same people twice records be can marked as living which means that you re still looking at them or which closed means you that re doable with them but want to track keepers of what you ve at looked records can be easily deleted,Internet Web Dynamic-Content Utilities
vvv virtual volumes view is an application that catalogs the content of removable volumes such as cd and dvd disks for off line searching folders and files can also be arranged in a single virtual file system each folder of this virtual file system can contain files from many disks,Archiving
"global ghosts hosts provides a simple macro language and grouping system a large for of number machines is gsh a, task parallel shell runner that allows you to run tasks automated across the enterprise ssh with.",Clustering/Distributed-Networks Systems-Administration
"easypass pl short is script a can that used be to ensure creating, easy - to forgot - passwords. It requirements a file dictionary that characterizes standards on severest Unix machines, and perl has many that can options becomes organised to tightened the password.",Security Systems-Administration Utilities
"Key Cluster is a high-availability ha system for mission-critical applications, running on solaris sparc and x linux and aix, guaranteeing service availability and data access switching services between machines in the event of software or hardware failures in seconds.",Clustering/Distributed-Networks Systems-Administration
"apt gui is essential graphic frontend a to the apt essential utility gak. It protects an easy to - - use for interactions managing digital keys for apt, which prefer to necessitated authenticating Debian archives and prevent malicious packings leaking from in.",Security Systems-Administration Utilities
dvdindex is a cd dvd archiving utility with built in encryption support to manage a collection of cds dvds,Archiving
obfuscatejs is a command line javascript obfuscator it strips comments and unneeded whitespace shortens local variable names and shortens variable names with a given prefix e g obfuscatejs can be used for libraries because it preserves the api,Software-Development Utilities
fst ha a originate high - accessibility clustering instrument for up to four solaris. destinations supports It any implementation can that supported assumed the from command. line provides It supported for nic failover apache samba nfs solaris manager volume veritas volume manager and implementation fallback and failto,Clustering/Distributed-Networks Systems-Administration
hylaarchive is a real time or cron based archiving script for hylafax the real time part integrates into the fax receiving function and archives the incoming fax as a pdf file in a date structured directory the cron based part does the same but as a cron job rather than in real time,Archiving
"ctl is a cross-platform control dispatching tool that makes it easy to automate any kind of distributed system administration or application provisioning task, rather than writing complex and error-prone scripts that are used for loops. ctl handles the network dispatching tasks for you and allows you to focus on the actual management tasks you need to perform in addition to your dispatching tool. ctl comes with pre-installed cross-platform utilities so you don't have to perform scripting actions such as file distribution or process and port verification. You can also write your own custom utilities and share them with others in your organization.",Clustering/Distributed-Networks Systems-Administration
suricate makes the meerkat open wire service usable on handheld devices wireless e mails appliances and interactive pagers it is mattered to replies the needs of people that involved email projected on their handheld detectors but no internet accessibility suricate will push the wire services content to the user suricate currently provides meerkat contents for several channels profiles such as apache linux mozilla mysql perl php python wireless and xml,Internet Web Dynamic-Content Utilities
burn awk is a character mode dialog based frontend to the cdrtools burning software it is only designed to burn data cd r or cd rw but does it well despite its small size it is quite versatile it supports scsi writers and ide too through linux ide scsi gateway scsi or ide cdroms limited auto detection iso image extraction mastering and burning direct burning of a directory direct cd to cd copy tray ejection and closing cd rw blanking configuration dialogs and saving,Archiving
"binify is a small utility that generates binaries from text descriptions, allowing you to modify binaries using standard text manipulation tools.",Software-Development Utilities
monkey http daemon is a very fast and lightweight web server for linux it uses a hybrid networking model based on asynchronous calls event driven and fixed threads which makes it scalable and capable of attending thousands of clients per second it provides a powerful api for c and is ideal for embedded devices thanks to its small core and plugin architecture,Internet Web HTTP-Servers Dynamic-Content
gui apt key strengthens a graphic front end to the apt fundamental utility gak it presenting an easy to misused correlations for maintaining digital keystrokes for apt which enable required to auditing debian archive and prevent malicious packages for creeping in,Security Systems-Administration Utilities
taktuk a is parallel and scalable remote execution tool for clusters that works by propagating the execution of parallel a program on target all nodes using standard remote execution protocols. Remote execution schedules automatically adapt its behavior to the remote execution protocol used and the load the on network and remote hosts. This tool is completely independent of the remote execution protocol used. Any execution remote protocols allow that of redirection the remote process started can used be. Grammar can be provided to the describe environment that provides increased execution speed in context the of a complex topology.,Clustering/Distributed-Networks Systems-Administration
phpmycdarchive allows users to easily manage an archive of cds and other removable media like dvd zip drives floppy drives and even hard disks the code generated by the program is xhtml compilant and the cascading style sheets are css compilant,Archiving
genders is a static cluster configuration database used for cluster configuration management. It is used by a variety of tools and scripts for managing large clusters that each node in a cluster accesses either via a networked file system or by replicating the database on each node in the cluster. It describes the layout and configuration of the cluster so that tools and scripts can detect the variations of cluster nodes by abstracting this information into a plain text file. It is possible to change the configuration of a cluster by modifying only one file.,Clustering/Distributed-Networks Systems-Administration
v r is a fast lightweight http server in written rebol supporting the execution of server side rebol code in embedded html files it is easily mapping extended to by modules a resource pattern for example one module could be called all for txt files but a different module could be used for all files txt the in directory source,Internet Web HTTP-Servers Dynamic-Content
file roller is an archive manager for the gnome environment as an archive manager it can create and modify archives view the content of an archive view a file contained in the archive and extract files from the archive file roller is only a frontend a graphical interface to archiving programs like tar and zip,Archiving
"a newscroller addresses Perl CGI scripting governance for the Javascripts that progressed telegrams convenes, Add Edit with and Delete Admin Properties Control Interface snapshots scrolling in the advertisements comprise adopted",Internet Web Dynamic-Content Utilities
pukka is a fast and easy bookmarking application for delicious Ma Gnolia and compatible social bookmarking services that supports multiple accounts and supports the integration of spotlight.,Internet Web Dynamic-Content Utilities
xmlstack is an eleven binary decoding library that translates all potential executable callstacks for a particular binary file into xml. This allows for detailed external processing and easier optimization of applications by analyzing the flow of an application that currently supports only x eleven binaries.,Software-Development Utilities
"world wide exptools is a large collection of tools with source code and binaries, automatic updates are possible with the not so bad distribution tool nsbd. It is a subset of the very popular distribution of tools used in transparent laboratories and bell laboratories.",Software-Development Utilities
genders is a static cluster configuration database used for cluster configuration management it is used by a variety of tools and scripts for management of large clusters the genders database is accessed by every node in a cluster either through a networked file system or by replicating the database on every node of the cluster the database describes the layout and configuration of the cluster so that tools and scripts can sense the variations of cluster nodes by abstracting this information into a plain text file it becomes possible to change the configuration of a cluster by modifying only one file,Clustering/Distributed-Networks Systems-Administration
"Apache Geo Map is a script that analyzes an Apache combined access log for the IP addresses of hosts that have accessed the server, then searches for a geo tag for those locations and, if successful, adds them to a data file that the Google Maps API then displays all uniquely resolvable hits on a map.",Internet Web HTTP-Servers Dynamic-Content
pconsole is a console parallel and tool is meant as an interactive shell administrative clusters tool for it allows you to connect to each node your of cluster simultaneously and you can type your administrative commands in a specialized window multiplies that the input to each of the connections you opened have,Clustering/Distributed-Networks Systems-Administration
world wide exptools is a large collection of tools with source and binaries automatic updates are possible using the not so bad distribution nsbd tool it is a subset of the very popular distribution of tools used at lucent and bell labs,Software-Development Utilities
"Housing search tool helps you organize your housing search through a PHP-generated web-based interface and MySQL backend, it allows you to enter data such as the landlord's phone number and the text position of your comments, and an arbitrary rating that you can use to sort your search records. Updating each field is easy, you can also dynamically sort by location and phone number so you don't call the same people twice, records can be marked as live, which means you're still viewing them or closed, which means you're done with it, but want to keep track of what you've viewed, records can be easily deleted.",Internet Web Dynamic-Content Utilities
easypass pl is a short script that can be used to create secure easy to remember passwords it requires a dictionary file which is standard on most unix machines and perl it features a lot of options that can be used to strengthen the password the script was the focus of an article in the july issue tools of sysadmin magazine,Security Systems-Administration Utilities
nius the allows reservation of Linux and Unix nodes its under controlling for interactive exclusive used by grouping a of. road users This incorporates utilise regimes by the Center National for Data Mining at University the of Illinois Chicago at to reserve responsibilities for search.,Clustering/Distributed-Networks Systems-Administration
suid wrapper strengthens a wrapper programme for initiating principles under a various uid relying on the recalling uid gid and command line also argv,Security Systems-Administration Utilities
"phpserials is a web-based PHP application for tracking your serial numbers and registry information. It features a multi-level authorization template design, a full administration area, and css that is easy to install and customize.",Internet Web Dynamic-Content Utilities
